

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.006  000.006: --- NVIM STARTING ---
000.166  000.160: event init
000.360  000.194: early init
000.873  000.513: locale set
000.914  000.041: init first window
001.385  000.471: inits 1
001.403  000.018: window checked
001.406  000.003: parsing arguments
001.942  000.081  000.081: require('vim.shared')
002.045  000.037  000.037: require('vim._meta')
002.047  000.103  000.066: require('vim._editor')
002.048  000.234  000.050: require('vim._init_packages')
002.051  000.411: init lua interpreter
002.351  000.300: expanding arguments
002.405  000.053: inits 2
002.684  000.279: init highlight
002.685  000.001: waiting for UI
005.960  003.275: done waiting for UI
006.005  000.045: init screen for UI
006.184  000.179: init default mappings
006.196  000.012: init default autocommands
008.190  000.081  000.081: sourcing /opt/homebrew/Cellar/neovim/0.8.0/share/nvim/runtime/ftplugin.vim
008.409  000.035  000.035: sourcing /opt/homebrew/Cellar/neovim/0.8.0/share/nvim/runtime/indent.vim
010.052  000.249  000.249: require('packer.util')
010.083  001.173  000.924: require('packer')
010.467  000.381  000.381: require('packer.log')
011.050  000.188  000.188: require('packer.async')
011.434  000.160  000.160: require('packer.result')
011.436  000.385  000.225: require('packer.jobs')
011.441  000.936  000.363: require('packer.plugin_utils')
011.696  000.234  000.234: require('packer.snapshot')
011.979  003.292  000.567: require('plugins.init')
012.290  000.186  000.186: require('lspkind')
013.118  000.104  000.104: require('cmp.utils.debug')
013.466  000.168  000.168: require('cmp.utils.char')
013.473  000.353  000.185: require('cmp.utils.str')
013.582  000.108  000.108: require('cmp.utils.pattern')
014.234  000.233  000.233: require('cmp.utils.misc')
014.377  000.142  000.142: require('cmp.utils.buffer')
014.547  000.169  000.169: require('cmp.utils.api')
014.552  000.814  000.270: require('cmp.utils.keymap')
014.558  000.975  000.162: require('cmp.utils.feedkeys')
014.778  000.218  000.218: require('cmp.utils.async')
015.104  000.099  000.099: require('cmp.types.cmp')
015.250  000.145  000.145: require('cmp.types.lsp')
015.328  000.077  000.077: require('cmp.types.vim')
015.330  000.409  000.088: require('cmp.types')
015.424  000.093  000.093: require('cmp.utils.cache')
015.427  000.648  000.146: require('cmp.context')
016.159  000.147  000.147: require('cmp.config.mapping')
016.471  000.196  000.196: require('cmp.config.compare')
016.472  000.311  000.115: require('cmp.config.default')
016.485  000.714  000.256: require('cmp.config')
017.028  000.194  000.194: require('cmp.matcher')
017.032  000.547  000.352: require('cmp.entry')
017.037  001.609  000.349: require('cmp.source')
017.315  000.097  000.097: require('cmp.utils.event')
017.690  000.228  000.228: require('cmp.utils.window')
017.696  000.379  000.151: require('cmp.view.docs_view')
018.127  000.109  000.109: require('cmp.utils.autocmd')
018.133  000.436  000.326: require('cmp.view.custom_entries_view')
018.350  000.216  000.216: require('cmp.view.wildmenu_entries_view')
018.513  000.162  000.162: require('cmp.view.native_entries_view')
018.642  000.128  000.128: require('cmp.view.ghost_text_view')
018.650  001.612  000.193: require('cmp.view')
018.904  006.305  000.677: require('cmp.core')
019.050  000.083  000.083: require('cmp.config.sources')
019.132  000.081  000.081: require('cmp.config.window')
019.162  006.870  000.402: require('cmp')
025.862  006.169  006.169: require('impatient')
026.735  000.080  000.080: require('pears.utils')
026.802  000.066  000.066: require('pears.edit')
026.882  000.079  000.079: require('pears.rule')
026.934  000.050  000.050: require('pears.parser')
026.936  000.336  000.061: require('pears.config')
026.990  000.053  000.053: require('pears.common')
027.063  000.072  000.072: require('pears.pear_tree')
027.331  000.101  000.101: require('pears.marked_range')
027.333  000.146  000.045: require('pears.pair_context')
027.538  000.066  000.066: require('vim.treesitter.language')
027.589  000.188  000.122: require('vim.treesitter.query')
027.652  000.062  000.062: require('vim.treesitter.languagetree')
027.671  000.337  000.086: require('vim.treesitter')
027.675  000.611  000.128: require('pears.input')
027.717  000.041  000.041: require('pears.lang')
027.813  000.049  000.049: require('pears.pointer')
027.815  000.097  000.048: require('pears.buffer')
027.864  000.048  000.048: require('pears.ui')
027.991  001.485  000.227: require('pears')
028.260  000.073  000.073: require('project_nvim.config')
028.345  000.040  000.040: require('project_nvim.utils.path')
028.350  000.088  000.049: require('project_nvim.utils.history')
028.351  000.249  000.088: require('project_nvim')
028.437  000.055  000.055: require('project_nvim.utils.globtopattern')
028.547  000.048  000.048: require('project_nvim.project')
028.801  000.042  000.042: require('commented.helper')
028.810  000.152  000.110: require('commented')
029.021  000.038  000.038: require('toggleterm.constants')
029.060  000.038  000.038: require('toggleterm.colors')
029.197  000.035  000.035: require('toggleterm.utils')
029.205  000.097  000.061: require('toggleterm.ui')
029.247  000.041  000.041: require('toggleterm.config')
029.254  000.193  000.055: require('toggleterm.terminal')
029.257  000.326  000.057: require('toggleterm')
029.926  000.392  000.392: require('nvim-treesitter.parsers')
029.981  000.054  000.054: require('nvim-treesitter.utils')
029.985  000.498  000.052: require('nvim-treesitter.ts_utils')
029.988  000.542  000.044: require('nvim-treesitter.tsrange')
030.027  000.039  000.039: require('nvim-treesitter.caching')
030.033  000.633  000.052: require('nvim-treesitter.query')
030.043  000.706  000.073: require('nvim-treesitter.configs')
030.111  004.247  001.226: require('packer_compiled')
030.329  000.037  000.037: require('nvim-lsp-installer.core.functional.data')
030.369  000.039  000.039: require('nvim-lsp-installer.core.functional.function')
030.415  000.044  000.044: require('nvim-lsp-installer.core.functional.list')
030.455  000.038  000.038: require('nvim-lsp-installer.core.functional.relation')
030.492  000.036  000.036: require('nvim-lsp-installer.core.functional.logic')
030.535  000.042  000.042: require('nvim-lsp-installer.core.functional.number')
030.571  000.035  000.035: require('nvim-lsp-installer.core.functional.string')
030.612  000.040  000.040: require('nvim-lsp-installer.core.functional.table')
030.652  000.039  000.039: require('nvim-lsp-installer.core.functional.type')
030.655  000.409  000.060: require('nvim-lsp-installer.core.functional')
030.693  000.038  000.038: require('nvim-lsp-installer.core.path')
030.737  000.043  000.043: require('nvim-lsp-installer.settings')
030.818  000.038  000.038: require('nvim-lsp-installer.core.result')
030.845  000.107  000.069: require('nvim-lsp-installer.core.platform')
030.854  000.650  000.053: require('nvim-lsp-installer.log')
030.902  000.047  000.047: require('nvim-lsp-installer.core.async')
030.943  000.039  000.039: require('nvim-lsp-installer.core.async.uv')
030.946  000.784  000.049: require('nvim-lsp-installer.core.fs')
030.982  000.035  000.035: require('nvim-lsp-installer.notify')
031.021  000.038  000.038: require('nvim-lsp-installer.dispatcher')
031.105  000.083  000.083: require('nvim-lsp-installer.core.process')
031.235  000.042  000.042: require('nvim-lsp-installer.core.ui')
031.326  000.038  000.038: require('nvim-lsp-installer.core.ui.state')
031.327  000.091  000.053: require('nvim-lsp-installer.core.ui.display')
031.399  000.071  000.071: require('nvim-lsp-installer.servers')
031.442  000.041  000.041: require('nvim-lsp-installer.jobs.pool')
031.521  000.038  000.038: require('nvim-lsp-installer.jobs.outdated-servers.version-check-result')
031.608  000.041  000.041: require('nvim-lsp-installer.core.spawn')
031.647  000.039  000.039: require('nvim-lsp-installer.core.optional')
031.689  000.041  000.041: require('nvim-lsp-installer.core.installer')
031.692  000.170  000.049: require('nvim-lsp-installer.core.managers.npm')
